Model,ROC-AUC,Gini,PR-AUC,Optimal-Threshold,Accuracy,Precision,Recall,F1-Score
Random_Forest_Baseline,0.9125242740404188,0.8250485480808376,0.8374907914252943,0.40999999999999986,0.8235630611585048,0.629619260918253,0.8331172439340618,0.7172127880092481
XGBoost_Champion,0.9171275268054491,0.8342550536108981,0.8460236766893102,0.43999999999999984,0.839132489367523,0.6662315724815725,0.8035747360622337,0.728486273192847
